Nitrogen_mg_kg,Phosphorus_mg_kg,Potassium_mg_kg,pH_Level,Temperature_C,Rainfall_mm,Recommended_Fertilizer
270.34,59.18,430.93,7.25,38.7,657.9,Standard Balanced NPK
84.79,67.67,202.35,7.59,23.2,441.2,Urea (High N)
213.38,34.94,407.06,4.67,35.5,861.4,Lime & Urea
199.08,38.6,145.48,5.81,17.9,187.6,Standard Balanced NPK
153.9,68.85,382.29,8.59,39.7,567.5,Gypsum & DAP
339.37,63.17,476.77,6.41,44.6,1336.5,Standard Balanced NPK
248.35,26.61,56.18,8.82,26.2,844.9,Gypsum & DAP
82.42,29.3,248.16,5.46,30.2,711.3,Lime & Urea
138.07,55.92,341.5,8.99,28.3,472.0,Gypsum & DAP
323.3,47.24,365.8,7.64,41.8,450.5,Standard Balanced NPK
80.45,17.17,129.24,7.99,15.3,431.3,Complex NPK (19:19:19)
390.48,28.24,487.48,6.29,34.6,1260.9,Standard Balanced NPK
248.06,72.5,326.87,8.58,34.6,1479.0,Gypsum & DAP
242.23,56.61,123.95,6.95,26.5,848.7,MOP (High K)
286.96,78.95,59.24,7.56,21.6,211.8,MOP (High K)
379.87,62.53,402.47,4.93,22.2,1151.5,Lime & Urea
189.12,75.65,85.87,7.34,39.0,1327.9,Standard Balanced NPK
321.21,21.21,113.47,8.46,17.0,1403.7,Standard Balanced NPK
276.29,62.86,308.67,5.3,31.9,980.3,Lime & Urea
156.81,6.52,321.58,7.82,24.2,809.6,Standard Balanced NPK
401.45,55.31,359.1,4.61,23.0,968.7,Lime & Urea
368.97,40.2,227.08,8.67,30.2,118.1,Gypsum & DAP
313.38,31.01,398.25,8.92,41.9,1017.6,Gypsum & DAP
390.23,69.68,488.46,6.09,33.5,1093.5,Standard Balanced NPK
396.92,69.07,171.99,4.98,38.7,1110.8,Lime & Urea
333.35,6.67,366.36,7.46,33.0,888.3,DAP (High P)
384.81,50.71,467.81,4.63,35.9,1080.1,Lime & Urea
328.99,32.59,358.83,6.67,28.0,994.4,Standard Balanced NPK
322.06,36.17,356.5,5.72,42.8,261.7,Standard Balanced NPK
297.44,67.4,150.7,6.63,30.1,1357.7,Standard Balanced NPK
351.09,28.24,290.81,4.58,31.6,971.8,Lime & Urea
113.44,75.73,303.14,4.73,30.7,1118.9,Lime & Urea
402.35,18.47,365.06,4.57,24.5,580.0,Lime & Urea
398.74,54.7,498.57,7.29,21.9,1386.9,Standard Balanced NPK
61.7,55.41,65.14,7.02,17.2,803.7,Standard Balanced NPK
380.33,23.91,79.35,5.55,36.5,1050.6,Standard Balanced NPK
101.55,29.36,85.08,7.41,23.7,1433.1,Standard Balanced NPK
184.05,67.61,384.34,8.48,26.7,1382.5,Standard Balanced NPK
347.4,62.14,111.36,5.75,42.6,1002.7,MOP (High K)
114.3,29.68,330.1,8.24,32.0,332.0,Standard Balanced NPK
377.19,45.05,196.1,7.48,17.9,1430.8,Standard Balanced NPK
382.85,9.63,255.79,4.65,39.0,1477.8,Lime & Urea
252.99,20.66,147.05,6.19,22.7,244.8,Standard Balanced NPK
52.55,41.44,439.75,6.78,31.6,730.4,Urea (High N)
164.82,11.45,313.77,7.79,30.3,867.6,Standard Balanced NPK
296.77,68.25,475.05,5.79,22.1,228.9,Standard Balanced NPK
442.47,58.85,308.57,8.92,18.5,365.6,Gypsum & DAP
302.73,75.77,105.76,7.58,21.3,852.8,MOP (High K)
153.92,57.01,126.89,6.18,17.9,1448.3,Standard Balanced NPK
303.6,75.53,495.08,4.94,23.3,138.9,Lime & Urea
265.99,46.59,376.5,5.32,44.9,1377.4,Lime & Urea
361.94,50.02,72.18,6.69,27.1,1358.1,MOP (High K)
92.79,78.27,366.7,6.73,40.9,1300.1,Urea (High N)
354.41,53.16,235.48,7.95,31.5,628.6,Standard Balanced NPK
266.51,7.31,188.24,7.77,35.0,787.2,Standard Balanced NPK
435.2,59.29,119.33,5.41,19.7,665.0,Lime & Urea
186.75,72.91,427.96,7.18,23.2,1426.6,Standard Balanced NPK
303.05,64.67,78.73,4.59,30.3,829.9,Lime & Urea
422.81,48.79,180.43,6.29,41.4,212.9,Standard Balanced NPK
91.0,55.35,187.87,7.94,16.3,483.7,Standard Balanced NPK
424.89,79.26,122.41,6.3,30.2,746.8,MOP (High K)
325.15,11.8,278.68,8.26,16.5,1435.0,DAP (High P)
77.13,55.04,55.27,8.89,28.7,896.5,Gypsum & DAP
170.39,26.25,185.44,7.23,33.9,1074.5,Standard Balanced NPK
333.27,53.01,470.13,5.15,37.3,223.9,Lime & Urea
76.94,50.57,189.74,6.21,19.2,1328.3,Standard Balanced NPK
282.87,16.51,212.21,4.54,20.0,854.6,Lime & Urea
188.35,20.51,262.92,7.21,29.1,1389.7,Standard Balanced NPK
298.37,51.62,302.76,8.2,44.9,723.7,Standard Balanced NPK
68.3,14.62,413.92,7.33,25.7,1056.3,Standard Balanced NPK
398.61,24.89,135.64,8.04,27.8,759.2,Standard Balanced NPK
439.4,67.64,442.29,8.1,28.0,299.6,Standard Balanced NPK
437.55,29.53,390.9,8.33,17.4,480.9,Standard Balanced NPK
349.86,41.6,375.19,5.7,38.2,194.2,Standard Balanced NPK
102.03,75.59,89.06,8.42,22.6,716.4,Standard Balanced NPK
353.31,22.04,59.74,7.44,36.1,1009.1,Standard Balanced NPK
59.83,34.22,317.31,5.8,29.3,441.2,Urea (High N)
58.85,50.48,438.41,8.94,33.4,786.5,Gypsum & DAP
179.44,61.65,313.0,8.78,16.6,742.6,Gypsum & DAP
245.46,72.62,145.96,7.08,41.7,846.8,MOP (High K)
358.16,73.66,90.73,8.29,22.3,358.4,MOP (High K)
323.32,63.25,364.82,5.68,35.1,847.6,Standard Balanced NPK
228.36,22.12,374.8,6.37,38.9,609.9,Standard Balanced NPK
159.45,6.86,127.64,5.33,31.2,500.5,Lime & Urea
448.85,33.78,62.69,6.84,25.1,920.4,MOP (High K)
220.47,15.62,233.73,6.73,44.3,307.3,DAP (High P)
230.55,58.28,312.22,5.46,23.4,1360.9,Lime & Urea
115.45,54.58,367.7,7.53,43.5,1408.8,Urea (High N)
367.92,8.3,414.48,5.03,19.7,1024.9,Lime & Urea
327.47,67.74,324.74,4.78,26.7,524.4,Lime & Urea
138.31,23.66,99.9,6.23,19.2,976.4,Standard Balanced NPK
82.95,37.42,357.16,6.34,15.1,942.1,Urea (High N)
322.2,55.1,492.88,5.94,22.8,647.8,Standard Balanced NPK
311.8,37.21,457.51,5.66,17.6,502.1,Standard Balanced NPK
159.3,38.1,442.25,6.02,44.6,335.8,Standard Balanced NPK
430.35,9.92,185.98,5.24,37.8,404.3,Lime & Urea
110.42,35.11,387.85,6.32,15.1,1014.2,Urea (High N)
222.93,62.36,433.0,8.57,21.7,1340.3,Gypsum & DAP
427.45,73.64,355.25,5.51,35.1,638.9,Standard Balanced NPK
217.89,36.01,162.75,7.58,27.0,270.7,Standard Balanced NPK
305.41,36.77,479.23,5.14,40.0,117.9,Lime & Urea
209.04,57.7,252.87,6.09,30.1,668.3,Standard Balanced NPK
159.69,75.71,108.41,5.95,34.6,425.6,Standard Balanced NPK
443.59,25.03,99.4,8.72,32.9,551.6,Gypsum & DAP
213.73,38.01,341.38,6.43,34.1,438.3,Standard Balanced NPK
407.64,64.7,246.97,7.61,21.9,1029.8,Standard Balanced NPK
141.98,50.73,92.52,7.21,26.2,993.9,Standard Balanced NPK
135.24,13.29,383.16,5.13,16.5,1377.2,Lime & Urea
62.45,52.08,409.7,8.73,32.6,1079.6,Gypsum & DAP
310.67,19.01,376.44,6.06,28.8,330.9,DAP (High P)
197.41,43.27,141.02,4.7,37.8,1152.2,Lime & Urea
395.74,44.68,360.4,5.85,21.2,353.8,Standard Balanced NPK
239.28,70.72,54.83,6.01,28.1,882.0,MOP (High K)
437.28,39.69,187.3,4.92,20.4,207.9,Lime & Urea
124.21,25.96,229.47,7.29,33.4,166.3,Standard Balanced NPK
397.45,22.32,425.86,6.06,40.4,749.9,Standard Balanced NPK
360.64,70.57,225.68,7.33,38.0,247.0,Standard Balanced NPK
358.37,17.83,55.07,4.53,43.3,529.3,Lime & Urea
387.91,36.94,208.56,8.92,44.2,574.4,Gypsum & DAP
354.41,19.04,274.52,5.27,38.2,1177.2,Lime & Urea
300.49,63.0,477.05,7.47,23.6,565.8,Standard Balanced NPK
102.5,40.58,473.47,7.72,21.6,792.0,Urea (High N)
63.01,31.34,131.39,5.27,28.4,1181.6,Lime & Urea
418.34,32.08,133.32,5.0,44.8,386.9,Lime & Urea
296.66,68.92,123.52,5.19,27.4,1226.9,Lime & Urea
368.61,46.53,405.01,5.61,21.0,1264.5,Standard Balanced NPK
242.61,58.84,52.71,5.26,43.3,1484.4,Lime & Urea
96.92,72.28,107.23,7.53,26.6,721.7,Standard Balanced NPK
100.07,72.63,292.08,6.39,35.7,618.9,Urea (High N)
324.23,29.64,161.4,6.92,38.6,1082.8,Standard Balanced NPK
222.12,76.43,91.56,4.71,40.3,181.4,Lime & Urea
130.21,6.87,211.95,8.38,39.6,155.7,Standard Balanced NPK
246.64,33.26,173.39,5.27,40.1,569.0,Lime & Urea
75.68,72.18,280.0,6.12,35.0,1121.3,Urea (High N)
282.79,25.6,490.66,4.82,27.1,263.0,Lime & Urea
157.6,25.48,105.94,5.12,35.0,989.8,Lime & Urea
369.02,27.7,217.73,7.5,40.1,477.3,Standard Balanced NPK
174.14,50.92,469.39,7.62,25.5,1012.3,Standard Balanced NPK
232.09,37.87,444.59,7.55,23.9,739.8,Standard Balanced NPK
54.65,59.51,227.42,6.98,25.3,261.2,Urea (High N)
78.98,72.12,364.53,8.79,31.5,446.2,Gypsum & DAP
207.0,55.56,89.54,6.78,16.6,407.6,MOP (High K)
241.98,20.34,370.64,6.52,38.4,330.4,Standard Balanced NPK
290.01,74.95,487.79,5.61,19.2,755.7,Standard Balanced NPK
166.67,24.84,291.87,4.94,19.0,1436.5,Lime & Urea
327.99,16.24,274.32,6.97,20.9,1021.3,DAP (High P)
394.05,11.75,134.29,5.92,32.3,1270.4,Standard Balanced NPK
361.94,47.25,335.2,6.86,23.6,1473.5,Standard Balanced NPK
65.85,13.53,315.7,5.43,26.0,856.9,Lime & Urea
242.2,15.41,343.37,8.27,42.9,433.3,DAP (High P)
91.97,27.5,61.74,9.0,40.4,1398.9,Gypsum & DAP
146.82,26.12,296.93,5.95,40.6,1078.6,Standard Balanced NPK
444.67,50.32,317.72,8.29,32.3,1442.5,Standard Balanced NPK
107.0,66.26,143.39,8.43,41.0,1011.4,Standard Balanced NPK
249.56,62.1,143.75,8.98,38.4,1185.2,Gypsum & DAP
297.26,24.69,174.3,6.04,43.6,1346.9,Standard Balanced NPK
330.99,23.4,370.27,7.9,16.9,1162.9,Standard Balanced NPK
273.86,77.43,322.82,5.53,15.9,887.7,Standard Balanced NPK
53.91,5.62,430.59,7.31,20.3,760.7,Standard Balanced NPK
180.58,70.98,183.05,7.67,42.9,1252.7,Standard Balanced NPK
257.08,19.98,460.43,7.84,33.2,1180.8,DAP (High P)
85.15,76.05,384.67,5.43,27.8,613.0,Lime & Urea
190.25,30.67,227.76,8.32,30.4,797.7,Standard Balanced NPK
63.28,38.03,92.87,6.39,39.9,989.0,Standard Balanced NPK
81.43,58.03,165.64,5.47,42.9,139.7,Lime & Urea
208.77,49.08,480.55,6.94,36.9,446.6,Standard Balanced NPK
103.09,28.85,189.66,8.39,37.8,450.3,Standard Balanced NPK
277.02,46.54,198.46,8.85,24.6,1336.5,Gypsum & DAP
325.79,59.8,135.32,7.87,29.0,564.1,MOP (High K)
370.23,8.18,413.08,4.53,41.6,863.2,Lime & Urea
130.06,5.84,174.04,5.11,38.6,1264.2,Lime & Urea
116.99,39.36,198.62,4.84,35.5,463.6,Lime & Urea
91.83,14.89,236.46,4.96,17.0,273.3,Lime & Urea
304.57,54.83,245.18,6.22,16.2,1427.7,Standard Balanced NPK
332.59,21.05,235.1,6.02,18.9,1086.6,Standard Balanced NPK
62.63,37.46,276.68,5.01,32.4,347.9,Lime & Urea
424.48,19.83,416.53,8.47,31.1,1247.6,DAP (High P)
70.79,46.14,418.68,7.27,43.3,1202.0,Urea (High N)
266.52,13.7,409.24,8.08,35.8,1272.6,DAP (High P)
333.62,6.73,95.51,6.17,23.8,486.7,Standard Balanced NPK
398.39,8.83,409.86,6.35,19.8,728.0,DAP (High P)
335.63,76.57,104.11,5.93,40.5,1071.1,MOP (High K)
370.69,15.67,106.13,6.47,28.8,646.9,Standard Balanced NPK
185.78,58.14,476.54,7.25,34.6,198.0,Standard Balanced NPK
375.93,10.09,418.73,6.72,32.0,291.0,DAP (High P)
82.05,13.11,298.58,8.27,18.2,936.0,Standard Balanced NPK
407.93,43.17,443.74,8.55,16.7,625.2,Gypsum & DAP
269.04,39.87,495.21,6.61,26.3,107.5,Standard Balanced NPK
376.92,76.37,324.79,5.58,25.8,1173.6,Standard Balanced NPK
230.93,75.86,325.8,8.75,35.2,683.4,Gypsum & DAP
307.43,63.47,389.49,7.81,34.0,539.3,Standard Balanced NPK
260.56,50.16,154.46,7.38,44.1,1098.9,Standard Balanced NPK
342.64,39.12,125.21,7.85,40.7,737.2,MOP (High K)
82.65,31.71,391.81,4.84,29.9,1072.8,Lime & Urea
74.14,76.03,205.21,4.8,30.0,118.5,Lime & Urea
148.84,50.22,110.78,5.19,35.2,113.2,Lime & Urea
113.82,48.43,191.69,5.16,18.4,883.9,Lime & Urea
398.71,22.39,211.39,6.39,45.0,1475.1,Standard Balanced NPK
137.69,8.5,484.35,5.21,30.6,481.3,Lime & Urea
440.35,75.89,364.08,8.35,42.3,1056.1,Standard Balanced NPK
184.76,28.53,288.89,7.1,44.0,341.2,Standard Balanced NPK
122.85,38.19,485.99,6.16,32.4,536.2,Urea (High N)
365.88,13.6,456.41,4.81,18.1,209.3,Lime & Urea
313.48,67.77,280.4,7.16,32.2,1333.1,Standard Balanced NPK
249.28,7.07,457.56,5.02,32.9,534.6,Lime & Urea
272.15,67.55,231.94,7.84,38.7,422.7,Standard Balanced NPK
337.68,15.52,153.69,8.11,16.4,1122.8,Standard Balanced NPK
141.38,71.49,154.71,6.95,29.0,379.2,Standard Balanced NPK
448.53,59.73,348.04,5.17,42.7,436.4,Lime & Urea
439.92,17.35,275.48,8.04,44.7,245.1,DAP (High P)
310.13,47.44,346.53,5.89,20.7,1448.0,Standard Balanced NPK
129.82,28.45,358.73,5.5,41.1,446.7,Standard Balanced NPK
322.09,18.37,60.05,6.62,19.4,1493.9,Standard Balanced NPK
78.88,69.44,74.32,8.65,40.2,346.6,Gypsum & DAP
62.26,35.26,289.7,5.84,23.3,128.9,Urea (High N)
153.07,34.89,135.97,8.58,43.8,1354.0,Gypsum & DAP
235.05,17.74,334.64,4.74,35.9,912.0,Lime & Urea
397.31,33.73,298.48,4.88,27.0,592.0,Lime & Urea
340.87,70.37,313.59,7.64,23.4,818.7,Standard Balanced NPK
347.08,32.23,186.1,5.36,22.1,465.0,Lime & Urea
220.2,76.37,337.93,5.92,35.4,988.7,Standard Balanced NPK
188.37,75.97,423.27,5.11,41.9,963.1,Lime & Urea
198.42,15.87,499.13,6.0,37.6,212.3,Standard Balanced NPK
445.06,18.3,427.3,5.76,40.0,1375.0,DAP (High P)
66.04,69.7,300.87,7.81,38.4,744.7,Urea (High N)
396.81,34.46,137.04,7.66,44.4,373.2,MOP (High K)
281.47,5.33,356.65,8.8,37.7,530.3,Gypsum & DAP
225.45,25.54,471.94,7.76,21.3,1312.7,Standard Balanced NPK
340.1,49.82,145.34,7.63,38.7,636.5,MOP (High K)
244.67,64.94,165.2,7.62,24.7,886.7,Standard Balanced NPK
399.37,15.0,117.05,8.47,44.9,1426.8,Standard Balanced NPK
410.28,13.29,381.52,5.83,26.3,1012.4,DAP (High P)
218.69,74.16,232.95,5.85,23.8,1046.0,Standard Balanced NPK
160.73,61.34,78.21,7.84,22.2,448.0,Standard Balanced NPK
286.94,49.23,443.73,5.53,34.8,1035.6,Standard Balanced NPK
414.95,62.69,300.95,8.6,18.3,651.3,Gypsum & DAP
134.26,37.16,198.99,6.91,43.6,1375.5,Standard Balanced NPK
299.19,61.88,204.79,5.85,23.8,281.4,Standard Balanced NPK
302.62,32.89,180.61,7.99,23.9,499.9,Standard Balanced NPK
343.25,23.31,254.97,5.91,16.4,192.4,Standard Balanced NPK
102.63,59.68,201.67,8.83,22.4,633.3,Gypsum & DAP
336.33,36.48,296.58,8.92,27.6,307.7,Gypsum & DAP
413.61,78.6,398.08,7.5,26.1,1283.2,Standard Balanced NPK
121.87,31.21,353.51,5.01,23.2,1395.1,Lime & Urea
145.02,74.13,182.51,5.68,16.2,1037.2,Standard Balanced NPK
438.56,74.97,287.93,6.82,24.0,244.7,Standard Balanced NPK
122.39,23.14,428.06,8.33,38.3,578.3,Standard Balanced NPK
391.75,64.87,80.69,5.33,28.2,1450.3,Lime & Urea
246.91,37.48,85.23,4.97,23.7,290.8,Lime & Urea
148.89,73.81,300.28,4.84,24.1,879.1,Lime & Urea
398.3,38.76,337.6,6.78,31.6,594.1,Standard Balanced NPK
228.12,60.82,145.14,8.48,24.1,1498.8,MOP (High K)
255.93,40.02,385.35,4.69,33.9,499.5,Lime & Urea
193.69,22.09,340.82,5.46,44.7,166.9,Lime & Urea
287.18,19.95,465.48,7.62,16.2,1083.1,DAP (High P)
115.41,36.91,126.03,8.22,20.1,557.4,Standard Balanced NPK
206.43,61.66,388.12,8.13,20.4,1020.6,Standard Balanced NPK
437.76,50.38,87.64,8.03,28.4,246.5,MOP (High K)
153.25,56.65,304.38,5.08,16.2,832.3,Lime & Urea
312.69,26.17,298.35,6.29,29.3,625.3,Standard Balanced NPK
180.08,41.11,224.77,8.93,42.9,851.5,Gypsum & DAP
359.39,8.33,430.06,8.95,15.3,1294.9,Gypsum & DAP
102.35,66.31,51.97,7.21,25.9,1461.8,Standard Balanced NPK
437.93,79.24,284.08,7.69,37.8,1154.4,Standard Balanced NPK
231.52,35.52,147.72,8.78,19.6,1173.6,Gypsum & DAP
144.42,5.82,384.57,6.52,17.3,840.5,Standard Balanced NPK
79.4,17.73,69.38,5.12,33.9,236.4,Lime & Urea
117.9,53.94,424.2,7.51,15.3,1033.9,Urea (High N)
257.91,50.91,427.14,8.82,39.1,306.9,Gypsum & DAP
184.8,64.09,424.79,7.64,17.0,443.9,Standard Balanced NPK
381.55,24.04,118.66,8.11,30.7,1090.6,Standard Balanced NPK
222.36,62.27,333.68,6.4,37.2,1019.8,Standard Balanced NPK
149.49,56.6,56.47,4.93,22.3,540.1,Lime & Urea
296.86,29.21,431.58,5.26,18.1,1180.9,Lime & Urea
332.71,45.91,375.34,8.92,20.3,1415.0,Gypsum & DAP
116.82,16.05,289.02,6.72,40.6,863.4,Standard Balanced NPK
117.05,38.94,378.77,4.55,36.2,1048.8,Lime & Urea
64.67,71.09,92.45,8.8,20.9,480.5,Gypsum & DAP
344.56,36.59,287.9,6.74,36.5,1459.1,Standard Balanced NPK
315.52,67.97,181.07,8.26,36.3,483.2,Standard Balanced NPK
239.85,49.27,487.68,6.97,44.9,1342.4,Standard Balanced NPK
387.67,19.39,435.7,4.96,26.7,1399.0,Lime & Urea
372.27,48.58,379.97,7.27,40.9,1107.5,Standard Balanced NPK
284.14,42.95,470.19,8.99,28.4,1236.2,Gypsum & DAP
397.31,34.9,206.08,4.66,41.9,741.0,Lime & Urea
132.34,13.97,455.4,8.29,17.7,1387.4,Standard Balanced NPK
94.77,36.25,196.36,5.56,20.3,1139.7,Standard Balanced NPK
157.9,10.46,379.76,6.27,40.5,557.4,Standard Balanced NPK
72.83,12.41,381.39,6.18,39.6,148.9,Standard Balanced NPK
262.47,36.19,58.26,8.54,24.2,857.1,Gypsum & DAP
424.64,27.9,212.48,6.77,32.9,1276.9,Standard Balanced NPK
65.74,74.42,58.74,6.51,26.5,1304.9,Standard Balanced NPK
98.84,33.18,498.69,8.18,15.3,1269.2,Urea (High N)
230.88,61.84,104.99,4.72,15.8,400.6,Lime & Urea
423.55,44.77,294.26,4.89,16.6,696.6,Lime & Urea
176.46,57.81,405.75,4.6,32.8,959.4,Lime & Urea
252.89,24.51,140.57,7.6,23.4,1034.6,Standard Balanced NPK
66.63,75.64,268.27,6.87,19.3,568.4,Urea (High N)
109.34,44.76,323.34,8.44,43.2,1069.7,Urea (High N)
444.65,67.35,122.09,6.74,18.6,927.3,MOP (High K)
436.05,32.38,400.35,5.5,35.2,893.5,Lime & Urea
51.98,12.52,184.7,8.12,41.8,1028.2,Standard Balanced NPK
430.72,55.53,144.96,5.82,19.9,944.7,MOP (High K)
305.65,5.58,301.23,8.71,21.4,333.6,Gypsum & DAP
397.17,40.65,234.64,5.63,32.2,1324.2,Standard Balanced NPK
231.9,19.46,464.13,5.25,30.3,436.8,Lime & Urea
256.24,52.05,446.03,6.72,30.6,1142.3,Standard Balanced NPK
245.54,78.46,267.51,4.73,31.6,347.0,Lime & Urea
316.75,39.83,211.67,4.66,43.5,1025.4,Lime & Urea
105.86,66.31,196.48,6.73,16.6,1354.0,Standard Balanced NPK
61.99,43.08,170.4,5.47,37.8,113.6,Lime & Urea
173.17,42.19,295.05,4.54,22.0,1471.5,Lime & Urea
331.87,74.78,412.24,5.83,26.2,141.5,Standard Balanced NPK
130.74,71.75,189.84,6.65,17.7,115.9,Standard Balanced NPK
319.37,63.94,135.54,6.27,28.4,1300.6,MOP (High K)
437.96,27.22,263.97,5.11,39.1,1092.2,Lime & Urea
87.56,45.88,81.07,7.11,18.0,248.1,Standard Balanced NPK
319.04,21.79,365.58,7.7,23.3,1412.4,Standard Balanced NPK
227.5,38.29,283.26,7.54,26.2,1040.7,Standard Balanced NPK
397.26,41.32,273.37,6.27,18.1,255.5,Standard Balanced NPK
120.86,67.37,185.2,5.12,37.9,1304.8,Lime & Urea
327.05,72.2,457.1,6.75,38.6,773.3,Standard Balanced NPK
385.25,36.1,90.72,8.51,40.1,489.4,Gypsum & DAP
427.85,6.33,441.42,6.61,32.5,1255.1,DAP (High P)
323.3,69.63,219.52,5.38,30.2,1133.8,Lime & Urea
248.87,18.07,446.28,4.92,22.9,972.3,Lime & Urea
297.14,51.64,377.94,8.75,34.7,1357.9,Gypsum & DAP
397.56,6.87,96.88,7.84,28.3,1305.8,Standard Balanced NPK
278.24,34.96,424.19,5.91,44.1,417.5,Standard Balanced NPK
62.15,78.95,356.98,5.83,44.0,1330.2,Urea (High N)
422.38,12.55,64.54,8.53,42.2,623.7,Gypsum & DAP
325.81,36.78,110.17,5.3,25.8,704.5,Lime & Urea
320.61,28.04,336.03,6.91,26.0,1461.3,Standard Balanced NPK
136.27,72.88,348.17,7.71,40.6,1163.8,Urea (High N)
313.55,70.2,385.99,6.28,36.9,550.1,Standard Balanced NPK
207.55,22.83,374.11,4.68,36.1,1007.1,Lime & Urea
310.49,11.09,346.78,5.52,23.4,855.1,DAP (High P)
92.64,52.04,394.81,8.56,40.0,263.2,Gypsum & DAP
313.14,30.23,308.79,6.85,32.4,1342.9,Standard Balanced NPK
449.77,55.41,167.36,8.17,28.4,1250.6,Standard Balanced NPK
69.28,7.41,460.57,7.0,41.0,1188.8,Standard Balanced NPK
440.87,15.0,58.2,8.75,26.8,882.8,Gypsum & DAP
212.76,56.48,214.95,8.59,34.6,409.2,Gypsum & DAP
398.3,20.93,377.99,6.67,29.0,1337.5,Standard Balanced NPK
362.95,69.32,242.22,5.93,32.8,594.2,Standard Balanced NPK
276.81,9.39,61.18,7.21,16.2,128.2,Standard Balanced NPK
345.38,21.16,79.69,7.54,28.8,1474.5,Standard Balanced NPK
401.41,79.89,341.89,6.74,31.7,1305.6,Standard Balanced NPK
211.66,37.48,484.19,8.2,29.8,971.8,Standard Balanced NPK
180.81,57.72,298.34,5.32,40.4,117.4,Lime & Urea
317.04,18.7,278.04,6.0,24.3,418.8,DAP (High P)
373.14,50.74,193.25,7.59,41.5,732.9,Standard Balanced NPK
354.91,59.46,165.51,5.61,27.1,979.3,Standard Balanced NPK
369.13,28.59,59.44,6.48,35.8,1091.4,Standard Balanced NPK
224.23,67.17,172.83,8.84,17.6,1203.6,Gypsum & DAP
377.13,50.26,252.1,7.32,21.0,877.9,Standard Balanced NPK
98.08,34.18,139.08,8.77,37.8,1018.7,Gypsum & DAP
267.8,46.82,89.31,7.75,15.4,1235.7,MOP (High K)
52.3,48.26,372.98,7.76,44.1,1107.8,Urea (High N)
179.83,17.42,452.58,7.16,20.7,1436.7,Standard Balanced NPK
196.58,35.2,471.55,5.14,42.0,1324.5,Lime & Urea
208.47,30.76,328.1,6.84,30.5,337.1,Standard Balanced NPK
328.19,35.07,73.75,5.64,31.9,1426.4,MOP (High K)
205.42,62.08,383.39,8.99,17.5,385.8,Gypsum & DAP
229.48,41.19,99.54,5.7,26.0,1487.8,MOP (High K)
145.02,75.52,351.39,5.54,19.7,1081.9,Urea (High N)
199.3,27.03,400.71,7.31,30.8,978.5,Standard Balanced NPK
140.91,36.18,376.64,6.8,31.5,554.1,Urea (High N)
79.28,64.02,478.35,4.6,36.3,286.4,Lime & Urea
291.38,45.95,382.17,5.08,41.3,276.6,Lime & Urea
317.29,46.03,361.94,8.15,29.0,1313.2,Standard Balanced NPK
297.8,9.0,167.78,6.68,22.0,705.4,Standard Balanced NPK
235.4,34.89,466.15,5.16,25.0,883.8,Lime & Urea
201.91,25.31,130.79,6.59,40.4,1404.6,Standard Balanced NPK
395.33,79.95,457.2,5.64,19.4,457.5,Standard Balanced NPK
257.63,28.13,190.7,5.51,33.8,1169.5,Standard Balanced NPK
241.67,71.34,108.57,8.81,15.4,758.7,Gypsum & DAP
60.26,55.72,422.01,6.13,22.4,397.9,Urea (High N)
186.5,30.57,51.12,4.71,32.7,1294.2,Lime & Urea
202.08,45.77,424.44,8.87,28.7,1051.9,Gypsum & DAP
209.53,68.04,168.04,8.08,29.8,232.9,Standard Balanced NPK
282.07,71.25,448.12,5.64,34.8,858.5,Standard Balanced NPK
263.44,17.03,361.17,6.34,22.0,1292.5,DAP (High P)
293.16,30.47,349.78,8.38,23.4,193.7,Standard Balanced NPK
355.95,30.14,214.39,6.11,35.5,682.8,Standard Balanced NPK
375.19,8.15,76.73,7.05,31.1,1227.3,Standard Balanced NPK
337.25,49.87,423.53,6.91,15.4,1301.7,Standard Balanced NPK
432.21,69.11,126.91,6.31,35.1,1185.5,MOP (High K)
57.29,33.62,217.52,7.38,33.6,528.0,Urea (High N)
128.31,60.5,320.16,6.63,17.4,809.7,Urea (High N)
53.03,52.08,267.01,4.6,37.4,1137.8,Lime & Urea
308.99,33.17,139.4,8.16,30.7,313.6,MOP (High K)
409.21,15.58,113.28,5.01,21.1,933.0,Lime & Urea
147.39,58.2,105.46,6.59,31.8,1108.5,Standard Balanced NPK
420.81,69.09,438.35,7.11,32.9,1290.0,Standard Balanced NPK
74.11,56.44,64.2,7.67,42.6,256.3,Standard Balanced NPK
423.77,6.34,489.66,6.35,37.3,561.5,DAP (High P)
190.65,21.22,139.34,7.81,24.1,858.3,Standard Balanced NPK
90.57,10.21,99.65,5.09,18.5,1081.5,Lime & Urea
244.35,47.78,309.64,7.44,40.6,1122.1,Standard Balanced NPK
152.71,61.74,85.99,8.22,40.4,454.6,Standard Balanced NPK
163.95,13.29,321.1,8.5,20.3,119.4,Gypsum & DAP
172.92,67.88,432.78,7.11,16.9,1071.3,Standard Balanced NPK
371.21,46.66,71.55,5.91,36.4,1372.8,MOP (High K)
265.66,56.75,409.94,5.24,36.7,1216.5,Lime & Urea
174.52,77.86,227.51,6.06,20.3,971.5,Standard Balanced NPK
294.13,11.28,121.77,6.93,35.0,1468.6,Standard Balanced NPK
336.46,72.59,129.24,5.38,23.4,706.4,Lime & Urea
159.05,14.46,463.44,8.79,22.8,835.1,Gypsum & DAP
